month,numbookscheckout,firstdayofmonth,year
1,294166,1/1/07,2007
2,273075,2/1/07,2007
3,308111,3/1/07,2007
4,292899,4/1/07,2007
5,295721,5/1/07,2007
6,315847,6/1/07,2007
7,318036,7/1/07,2007
8,324224,8/1/07,2007
9,298025,9/1/07,2007
10,320304,10/1/07,2007
11,309972,11/1/07,2007
12,274179,12/1/07,2007
1,341559,1/1/08,2008
2,313747,2/1/08,2008
3,289487,3/1/08,2008
4,338702,4/1/08,2008
5,325179,5/1/08,2008
6,353583,6/1/08,2008
7,385262,7/1/08,2008
8,359820,8/1/08,2008
9,350203,9/1/08,2008
10,351231,10/1/08,2008
11,356312,11/1/08,2008
12,305958,12/1/08,2008
1,385566,1/1/09,2009
2,349585,2/1/09,2009
3,395793,3/1/09,2009
4,367085,4/1/09,2009
5,356186,5/1/09,2009
6,387045,6/1/09,2009
7,400407,7/1/09,2009
8,397490,8/1/09,2009
9,288711,9/1/09,2009
10,374218,10/1/09,2009
11,350719,11/1/09,2009
12,323127,12/1/09,2009
1,370439,1/1/10,2010
2,327847,2/1/10,2010
3,376936,3/1/10,2010
4,350077,4/1/10,2010
5,345694,5/1/10,2010
6,376721,6/1/10,2010
7,373516,7/1/10,2010
8,363969,8/1/10,2010
9,294002,9/1/10,2010
10,353042,10/1/10,2010
11,332683,11/1/10,2010
12,320976,12/1/10,2010
1,356691,1/1/11,2011
2,331676,2/1/11,2011
3,332980,3/1/11,2011
4,353201,4/1/11,2011
5,338183,5/1/11,2011
6,380082,6/1/11,2011
7,375859,7/1/11,2011
8,358289,8/1/11,2011
9,284448,9/1/11,2011
10,333975,10/1/11,2011
11,311720,11/1/11,2011
12,295185,12/1/11,2011
1,290733,1/1/12,2012
2,298917,2/1/12,2012
3,333086,3/1/12,2012
4,320010,4/1/12,2012
5,328018,5/1/12,2012
6,361956,6/1/12,2012
7,386349,7/1/12,2012
8,314370,8/1/12,2012
9,298742,9/1/12,2012
10,364624,10/1/12,2012
11,345639,11/1/12,2012
12,314308,12/1/12,2012
1,379984,1/1/13,2013
2,341436,2/1/13,2013
3,371844,3/1/13,2013
4,355593,4/1/13,2013
5,345095,5/1/13,2013
6,389107,6/1/13,2013
7,399869,7/1/13,2013
8,386341,8/1/13,2013
9,363621,9/1/13,2013
10,364437,10/1/13,2013
11,357640,11/1/13,2013
12,314639,12/1/13,2013
1,367174,1/1/14,2014
2,319643,2/1/14,2014
3,375521,3/1/14,2014
4,336589,4/1/14,2014
5,336672,5/1/14,2014
6,357650,6/1/14,2014
7,370883,7/1/14,2014
8,357390,8/1/14,2014
9,332770,9/1/14,2014
10,345405,10/1/14,2014
11,336426,11/1/14,2014
12,302454,12/1/14,2014
1,344049,1/1/15,2015
2,308153,2/1/15,2015
3,353126,3/1/15,2015
4,331974,4/1/15,2015
5,317626,5/1/15,2015
6,292338,6/1/15,2015
7,359878,7/1/15,2015
8,356467,8/1/15,2015
9,341812,9/1/15,2015
10,338724,10/1/15,2015
11,325585,11/1/15,2015
12,289710,12/1/15,2015
1,338566,1/1/16,2016
2,310371,2/1/16,2016
3,333568,3/1/16,2016
4,310911,4/1/16,2016
5,309325,5/1/16,2016
6,324005,6/1/16,2016
7,330556,7/1/16,2016
8,325642,8/1/16,2016
9,311872,9/1/16,2016
10,296578,10/1/16,2016
11,310780,11/1/16,2016
12,285929,12/1/16,2016
