week,numbookscheckout,firstdayofweek,year
1,86273,1/1/12,2012
2,75338,1/9/12,2012
3,43590,1/16/12,2012
4,78735,1/23/12,2012
5,69274,1/30/12,2012
6,73283,2/6/12,2012
7,72924,2/13/12,2012
8,65436,2/20/12,2012
9,76213,2/27/12,2012
10,74947,3/5/12,2012
11,76831,3/12/12,2012
12,73029,3/19/12,2012
13,75711,3/26/12,2012
14,72517,4/2/12,2012
15,74407,4/9/12,2012
16,77922,4/16/12,2012
17,75043,4/23/12,2012
18,75977,4/30/12,2012
19,71936,5/7/12,2012
20,77047,5/14/12,2012
21,77881,5/21/12,2012
22,65052,5/28/12,2012
23,79796,6/4/12,2012
24,79333,6/11/12,2012
25,86260,6/18/12,2012
26,96825,6/25/12,2012
27,78444,7/2/12,2012
28,93296,7/9/12,2012
29,91773,7/16/12,2012
30,84690,7/23/12,2012
31,78822,7/30/12,2012
32,83931,8/6/12,2012
33,85392,8/13/12,2012
34,97607,8/20/12,2012
36,71487,9/3/12,2012
37,71717,9/10/12,2012
38,81907,9/17/12,2012
39,73631,9/24/12,2012
40,83252,10/1/12,2012
41,85438,10/8/12,2012
42,81916,10/15/12,2012
43,79359,10/22/12,2012
44,81507,10/29/12,2012
45,75298,11/5/12,2012
46,86740,11/12/12,2012
47,75552,11/19/12,2012
48,84736,11/26/12,2012
49,79160,12/3/12,2012
50,72631,12/10/12,2012
51,75529,12/17/12,2012
52,51357,12/24/12,2012
