year,season,numbookscheckout,firstdayofseason,lastdayofseason,,,,,,,,,,
2007,Spring,896731,2007-03-01T00:00:00,2007-05-31T23:59:59,,,,Year,Spring,Summer,Fall,Winter,,"['Year','Spring','Summer','Fall','Winter'],"
2007,Summer,958107,2007-06-01T00:00:00,2007-08-31T23:59:59,,,,2007,896731,958107,928301,929485,,"['2007', 896731, 958107, 928301, 929485],"
2007,Fall,928301,2007-09-01T00:00:00,2007-11-30T23:59:59,,,,2008,953368,1098665,1057746,1041109,,"['2008', 953368, 1098665, 1057746, 1041109],"
2007,Winter,929485,2007-12-01T00:00:00,2008-02-29T23:59:59,,,,2009,1119064,1184942,1013644,1021417,,"['2009', 1119064, 1184942, 1013644, 1021417],"
2008,Spring,953368,2008-03-01T00:00:00,2008-05-31T23:59:59,,,,2010,1072707,1114206,979727,1009343,,"['2010', 1072707, 1114206, 979727, 1009343],"
2008,Summer,1098665,2008-06-01T00:00:00,2008-08-31T23:59:59,,,,2011,1024364,1114230,930143,884835,,"['2011', 1024364, 1114230, 930143, 884835],"
2008,Fall,1057746,2008-09-01T00:00:00,2008-11-30T23:59:59,,,,2012,981114,1062675,1009005,1035728,,"['2012', 981114, 1062675, 1009005, 1035728],"
2008,Winter,1041109,2008-12-01T00:00:00,2009-02-28T23:59:59,,,,2013,1072532,1175317,1085698,1001414,,"['2013', 1072532, 1175317, 1085698, 1001414],"
2009,Spring,1119064,2009-03-01T00:00:00,2009-05-31T23:59:59,,,,2014,1048799,1085942,1014552,954643,,"['2014', 1048799, 1085942, 1014552, 954643],"
2009,Summer,1184942,2009-06-01T00:00:00,2009-08-31T23:59:59,,,,2015,1002733,1008663,1006123,938652,,"['2015', 1002733, 1008663, 1006123, 938652],"
2009,Fall,1013644,2009-09-01T00:00:00,2009-11-30T23:59:59,,,,2016,953856,980229,919197,893792,,"['2016', 953856, 980229, 919197, 893792],"
2009,Winter,1021417,2009-12-01T00:00:00,2010-02-28T23:59:59,,,,2017,944532,1038497,965159,0,,"['2017', 944532, 1038497, 965159, 0]"
2010,Spring,1072707,2010-03-01T00:00:00,2010-05-31T23:59:59,,,,,,,,,,
2010,Summer,1114206,2010-06-01T00:00:00,2010-08-31T23:59:59,,,,,,,,,,
2010,Fall,979727,2010-09-01T00:00:00,2010-11-30T23:59:59,,,,2007,,,,,,
2010,Winter,1009343,2010-12-01T00:00:00,2011-02-28T23:59:59,,,,Season,Number of checkouts,,"['Season','Number of checkouts'],",,,
2011,Spring,1024364,2011-03-01T00:00:00,2011-05-31T23:59:59,,,,Spring,896731,,"['Spring', 896731],",,,
2011,Summer,1114230,2011-06-01T00:00:00,2011-08-31T23:59:59,,,,Summer,958107,,"['Summer', 958107],",,,
2011,Fall,930143,2011-09-01T00:00:00,2011-11-30T23:59:59,,,,Fall,928301,,"['Fall', 928301],",,,
2011,Winter,884835,2011-12-01T00:00:00,2012-02-29T23:59:59,,,,Winter,929485,,"['Winter', 929485],",,,
2012,Spring,981114,2012-03-01T00:00:00,2012-05-31T23:59:59,,,,,,,,,,
2012,Summer,1062675,2012-06-01T00:00:00,2012-08-31T23:59:59,,,,2008,,,,,,
2012,Fall,1009005,2012-09-01T00:00:00,2012-11-30T23:59:59,,,,Season,Number of checkouts,,"['Season','Number of checkouts'],",,,
2012,Winter,1035728,2012-12-01T00:00:00,2013-02-28T23:59:59,,,,Spring,953368,,"['Spring', 953368],",,,
2013,Spring,1072532,2013-03-01T00:00:00,2013-05-31T23:59:59,,,,Summer,1098665,,"['Summer', 1098665],",,,
2013,Summer,1175317,2013-06-01T00:00:00,2013-08-31T23:59:59,,,,Fall,1057746,,"['Fall', 1057746],",,,
2013,Fall,1085698,2013-09-01T00:00:00,2013-11-30T23:59:59,,,,Winter,1041109,,"['Winter', 1041109],",,,
2013,Winter,1001414,2013-12-01T00:00:00,2014-02-28T23:59:59,,,,,,,,,,
2014,Spring,1048799,2014-03-01T00:00:00,2014-05-31T23:59:59,,,,2009,,,,,,
2014,Summer,1085942,2014-06-01T00:00:00,2014-08-31T23:59:59,,,,Season,Number of checkouts,,"['Season','Number of checkouts'],",,,
2014,Fall,1014552,2014-09-01T00:00:00,2014-11-30T23:59:59,,,,Spring,1119064,,"['Spring', 1119064],",,,
2014,Winter,954643,2014-12-01T00:00:00,2015-02-28T23:59:59,,,,Summer,1184942,,"['Summer', 1184942],",,,
2015,Spring,1002733,2015-03-01T00:00:00,2015-05-31T23:59:59,,,,Fall,1013644,,"['Fall', 1013644],",,,
2015,Summer,1008663,2015-06-01T00:00:00,2015-08-31T23:59:59,,,,Winter,1021417,,"['Winter', 1021417],",,,
2015,Fall,1006123,2015-09-01T00:00:00,2015-11-30T23:59:59,,,,,,,,,,
2015,Winter,938652,2015-12-01T00:00:00,2016-02-29T23:59:59,,,,2010,,,,,,
2016,Spring,953856,2016-03-01T00:00:00,2016-05-31T23:59:59,,,,Season,Number of checkouts,,"['Season','Number of checkouts'],",,,
2016,Summer,980229,2016-06-01T00:00:00,2016-08-31T23:59:59,,,,Spring,1072707,,"['Spring', 1072707],",,,
2016,Fall,919197,2016-09-01T00:00:00,2016-11-30T23:59:59,,,,Summer,1114206,,"['Summer', 1114206],",,,
2016,Winter,893792,2016-12-01T00:00:00,2017-02-28T23:59:59,,,,Fall,979727,,"['Fall', 979727],",,,
2017,Spring,944532,2017-03-01T00:00:00,2017-05-31T23:59:59,,,,Winter,1009343,,"['Winter', 1009343],",,,
2017,Summer,1038497,2017-06-01T00:00:00,2017-08-31T23:59:59,,,,,,,,,,
2017,Fall,965159,2017-09-01T00:00:00,2017-11-30T23:59:59,,,,2011,,,,,,
,,,,,,,,Season,Number of checkouts,,"['Season','Number of checkouts'],",,,
,,,,,,,,Spring,1024364,,"['Spring', 1024364],",,,
,,,,,,,,Summer,1114230,,"['Summer', 1114230],",,,
,,,,,,,,Fall,930143,,"['Fall', 930143],",,,
,,,,,,,,Winter,884835,,"['Winter', 884835],",,,
,,,,,,,,,,,,,,
,,,,,,,,2012,,,,,,
,,,,,,,,Season,Number of checkouts,,"['Season','Number of checkouts'],",,,
,,,,,,,,Spring,981114,,"['Spring', 981114],",,,
,,,,,,,,Summer,1062675,,"['Summer', 1062675],",,,
,,,,,,,,Fall,1009005,,"['Fall', 1009005],",,,
,,,,,,,,Winter,1035728,,"['Winter', 1035728],",,,
,,,,,,,,,,,,,,
,,,,,,,,2013,,,,,,
,,,,,,,,Season,Number of checkouts,,"['Season','Number of checkouts'],",,,
,,,,,,,,Spring,1072532,,"['Spring', 1072532],",,,
,,,,,,,,Summer,1175317,,"['Summer', 1175317],",,,
,,,,,,,,Fall,1085698,,"['Fall', 1085698],",,,
,,,,,,,,Winter,1001414,,"['Winter', 1001414],",,,
,,,,,,,,,,,,,,
,,,,,,,,2014,,,,,,
,,,,,,,,Season,Number of checkouts,,"['Season','Number of checkouts'],",,,
,,,,,,,,Spring,1048799,,"['Spring', 1048799],",,,
,,,,,,,,Summer,1085942,,"['Summer', 1085942],",,,
,,,,,,,,Fall,1014552,,"['Fall', 1014552],",,,
,,,,,,,,Winter,954643,,"['Winter', 954643],",,,
,,,,,,,,,,,,,,
,,,,,,,,2015,,,,,,
,,,,,,,,Season,Number of checkouts,,"['Season','Number of checkouts'],",,,
,,,,,,,,Spring,1002733,,"['Spring', 1002733],",,,
,,,,,,,,Summer,1008663,,"['Summer', 1008663],",,,
,,,,,,,,Fall,1006123,,"['Fall', 1006123],",,,
,,,,,,,,Winter,938652,,"['Winter', 938652],",,,
,,,,,,,,,,,,,,
,,,,,,,,2016,,,,,,
,,,,,,,,Season,Number of checkouts,,"['Season','Number of checkouts'],",,,
,,,,,,,,Spring,953856,,"['Spring', 953856],",,,
,,,,,,,,Summer,980229,,"['Summer', 980229],",,,
,,,,,,,,Fall,919197,,"['Fall', 919197],",,,
,,,,,,,,Winter,893792,,"['Winter', 893792],",,,
,,,,,,,,,,,,,,
,,,,,,,,2017,,,,,,
,,,,,,,,Season,Number of checkouts,,"['Season','Number of checkouts'],",,,
,,,,,,,,Spring,944532,,"['Spring', 944532],",,,
,,,,,,,,Summer,1038497,,"['Summer', 1038497],",,,
,,,,,,,,Fall,965159,,"['Fall', 965159],",,,
